,title,artist,top genre,year,country,val,dur
443,In der Weihnachtsbäckerei,Rolf Zuckowski,german pop,1987,germany,92,173
116,Indeciso,Reik,latin,2019,argentina,90,217
265,Indeciso,Reik,latin,2019,bolivia,90,217
462,Indeciso,Reik,latin,2019,colombia,90,217
562,Indeciso,Reik,latin,2019,spain,90,217
543,Infeliz,Arcangel,latin,2019,chile,72,221
978,Into the Unknown,Idina Menzel,hollywood,2019,malasya,27,195
316,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,brazil,70,157
26,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,world,72,156
69,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,africa,72,156
225,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,belgium,72,156
368,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,canada,72,156
620,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,usa,72,156
40,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,world,36,207
80,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,africa,36,207
180,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,australia,36,207
237,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,belgium,36,207
