,title,artist,top genre,year,country,val
364,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,canada,34
413,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,germany,34
619,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,usa,34
707,Heartless,The Weeknd,canadian contemporary r&b,2019,india,20
943,Hikoutei,King Gnu,j-pop,2019,japan,49
307,Hit Contagiante,Felipe Original,brega funk,2019,brazil,96
247,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,belgium,42
117,Hola - Remix,Dalex,latin,2019,argentina,34
269,Hola - Remix,Dalex,latin,2019,bolivia,34
466,Hola - Remix,Dalex,latin,2019,colombia,34
518,Hola - Remix,Dalex,latin,2019,chile,34
567,Hola - Remix,Dalex,latin,2019,spain,34
896,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,italy,50
45,Holly Jolly Christmas,Michael Bublé,adult standards,2011,world,74
82,Holly Jolly Christmas,Michael Bublé,adult standards,2011,africa,74
184,Holly Jolly Christmas,Michael Bublé,adult standards,2011,australia,74
242,Holly Jolly Christmas,Michael Bublé,adult standards,2011,belgium,74
390,Holly Jolly Christmas,Michael Bublé,adult standards,2011,canada,74
535,Holly Jolly Christmas,Michael Bublé,adult standards,2011,chile,74
639,Holly Jolly Christmas,Michael Bublé,adult standards,2011,usa,74
665,Holly Jolly Christmas,Michael Bublé,adult standards,2011,france,74
872,Holly Jolly Christmas,Michael Bublé,adult standards,2011,italy,74
991,Holly Jolly Christmas,Michael Bublé,adult standards,2011,malasya,74
965,How Do You Sleep?,Sam Smith,pop,2019,malasya,35
199,How to Make Gravy,Paul Kelly,australian alternative rock,2019,australia,39
668,Hé oh,Gambi,pop urbaine,2019,france,54
764,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,indonesia,84
817,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,israel,84
771,I Love You 3000,Stephanie Poetri,indonesian pop,2019,indonesia,41
993,I Love You 3000,Stephanie Poetri,indonesian pop,2019,malasya,41
789,I Love You but I'm Letting Go,Pamungkas,indonesian indie,2018,indonesia,13
41,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,world,61
238,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,belgium,61
385,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,canada,61
632,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,usa,61
84,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,africa,15
